Time Point,Cell Line,Treatment,Target,Relative Shift,Standard Deviation
1,26,Palbociclib,hydroxy-HIF,1115.51777,98.09873395
1,26,GDC0980,hydroxy-HIF,1349.099265,83.21165426
1,26,DMSO,hydroxy-HIF,1162.354305,332.1304946
1,26,GNE-317,hydroxy-HIF,1113.231165,27.24430809
1,26,Erlotinib,hydroxy-HIF,1187.981965,183.780991
24,26,Palbociclib,hydroxy-HIF,468.42184,136.495905
24,26,GNE-317,hydroxy-HIF,271.390825,18.71819837
24,26,DMSO,hydroxy-HIF,395.40891,104.0997371
24,26,Erlotinib,hydroxy-HIF,392.997665,55.02571328
24,26,GDC0980,hydroxy-HIF,212.705465,20.52443193
1,6,DMSO,hydroxy-HIF,363.85959,42.00327417
1,6,GDC0980,hydroxy-HIF,251.88708,48.02286006
1,6,Palbociclib,hydroxy-HIF,294.09588,13.56083728
1,6,Erlotinib,hydroxy-HIF,279.731845,7.137698484
1,6,GNE-317,hydroxy-HIF,306.888465,35.9310159
24,6,DMSO,hydroxy-HIF,313.5111133,161.8356893
24,6,GDC0980,hydroxy-HIF,343.6489233,130.4105376
24,6,Palbociclib,hydroxy-HIF,491.1216967,283.9226052
24,6,Erlotinib,hydroxy-HIF,381.17128,151.6699229
24,6,GNE-317,hydroxy-HIF,381.5236933,234.4500131
1,26,Palbociclib,p-Akt_308,746.865615,52.35355675
1,26,GDC0980,p-Akt_308,887.26281,218.4140559
1,26,DMSO,p-Akt_308,682.19038,192.3932334
1,26,GNE-317,p-Akt_308,653.005535,145.6884275
1,26,Erlotinib,p-Akt_308,687.542335,162.0446558
24,26,Palbociclib,p-Akt_308,312.28933,61.69880018
24,26,GNE-317,p-Akt_308,194.30486,3.902253625
24,26,DMSO,p-Akt_308,205.281965,53.69848799
24,26,Erlotinib,p-Akt_308,217.569385,22.3480179
24,26,GDC0980,p-Akt_308,120.36111,1.172213338
1,6,DMSO,p-Akt_308,266.01126,69.31699894
1,6,GDC0980,p-Akt_308,190.87421,13.98836818
1,6,Palbociclib,p-Akt_308,183.28047,1.845831542
1,6,Erlotinib,p-Akt_308,230.801435,11.31027903
1,6,GNE-317,p-Akt_308,190.284625,36.88988098
24,6,DMSO,p-Akt_308,212.6391433,120.7116778
24,6,GDC0980,p-Akt_308,219.60508,133.4498657
24,6,Palbociclib,p-Akt_308,279.6845067,168.7759867
24,6,Erlotinib,p-Akt_308,216.3874267,112.9839555
24,6,GNE-317,p-Akt_308,280.2748833,205.9391132
1,26,Palbociclib,p-Akt_473,653.77901,1.475038888
1,26,GDC0980,p-Akt_473,802.216605,10.66911703
1,26,DMSO,p-Akt_473,671.938185,235.8117465
1,26,GNE-317,p-Akt_473,589.96304,34.91967643
1,26,Erlotinib,p-Akt_473,701.75836,146.9364921
24,26,Palbociclib,p-Akt_473,315.538535,82.29617725
24,26,GNE-317,p-Akt_473,185.677735,3.005804861
24,26,DMSO,p-Akt_473,255.76699,56.89425002
24,26,Erlotinib,p-Akt_473,270.467835,3.818086705
24,26,GDC0980,p-Akt_473,127.46444,12.10397104
1,6,DMSO,p-Akt_473,243.598915,45.14555064
1,6,GDC0980,p-Akt_473,162.857615,23.6827668
1,6,Palbociclib,p-Akt_473,242.56895,25.95780508
1,6,Erlotinib,p-Akt_473,222.257125,9.140493589
1,6,GNE-317,p-Akt_473,156.21566,42.04741178
24,6,DMSO,p-Akt_473,429.5041567,129.5033773
24,6,GDC0980,p-Akt_473,208.0099567,117.938152
24,6,Palbociclib,p-Akt_473,559.2060267,126.5690303
24,6,Erlotinib,p-Akt_473,366.8762567,67.57437257
24,6,GNE-317,p-Akt_473,247.1196067,149.8910869
1,26,Palbociclib,p-c-Abl,1024.33601,144.8551092
1,26,GDC0980,p-c-Abl,1428.895505,69.61116243
1,26,DMSO,p-c-Abl,1210.775985,349.706058
1,26,GNE-317,p-c-Abl,1191.62631,45.94413583
1,26,Erlotinib,p-c-Abl,1249.996725,210.4399773
24,26,Palbociclib,p-c-Abl,476.78615,81.0127148
24,26,GNE-317,p-c-Abl,244.740445,21.62327587
24,26,DMSO,p-c-Abl,391.779475,94.63750989
24,26,Erlotinib,p-c-Abl,394.316555,88.36999823
24,26,GDC0980,p-c-Abl,220.004835,43.79913448
1,6,DMSO,p-c-Abl,336.715325,54.44714437
1,6,GDC0980,p-c-Abl,284.29154,17.63947162
1,6,Palbociclib,p-c-Abl,294.452465,37.17256813
1,6,Erlotinib,p-c-Abl,322.06382,19.09984511
1,6,GNE-317,p-c-Abl,244.75863,27.61619676
24,6,DMSO,p-c-Abl,311.3391733,136.3870633
24,6,GDC0980,p-c-Abl,324.15148,187.714981
24,6,Palbociclib,p-c-Abl,439.18121,261.9587323
24,6,Erlotinib,p-c-Abl,354.8056833,198.9434706
24,6,GNE-317,p-c-Abl,398.93715,300.9756558
1,26,Palbociclib,p-GSK3b,2266.066495,160.04756
1,26,GDC0980,p-GSK3b,2406.072395,342.4950537
1,26,DMSO,p-GSK3b,2481.449235,87.03636655
1,26,GNE-317,p-GSK3b,2098.59504,88.40350802
1,26,Erlotinib,p-GSK3b,1968.61248,106.3411383
24,26,Palbociclib,p-GSK3b,1866.90864,46.14959277
24,26,GNE-317,p-GSK3b,539.729755,81.35244426
24,26,DMSO,p-GSK3b,1390.16725,29.0907831
24,26,Erlotinib,p-GSK3b,1579.34627,198.2846208
24,26,GDC0980,p-GSK3b,394.52009,5.206512083
1,6,DMSO,p-GSK3b,1134.71205,2.860162077
1,6,GDC0980,p-GSK3b,837.317885,332.16346
1,6,Palbociclib,p-GSK3b,984.24109,112.818491
1,6,Erlotinib,p-GSK3b,1816.448145,1105.588103
1,6,GNE-317,p-GSK3b,673.53124,485.352862
24,6,DMSO,p-GSK3b,640.93169,133.2553816
24,6,GDC0980,p-GSK3b,423.0773633,133.0750046
24,6,Palbociclib,p-GSK3b,1117.464417,409.4871668
24,6,Erlotinib,p-GSK3b,789.22528,391.2422059
24,6,GNE-317,p-GSK3b,629.2900867,302.0070132
1,26,Palbociclib,p-MAPK,1222.68239,39.77498272
1,26,GDC0980,p-MAPK,1586.179745,215.7421327
1,26,DMSO,p-MAPK,1291.254895,368.003945
1,26,GNE-317,p-MAPK,1263.911005,50.09965389
1,26,Erlotinib,p-MAPK,1184.84871,81.19253206
24,26,Palbociclib,p-MAPK,486.55121,143.3806643
24,26,GNE-317,p-MAPK,266.71971,11.27824002
24,26,DMSO,p-MAPK,366.055535,129.5477535
24,26,Erlotinib,p-MAPK,419.111295,25.66608818
24,26,GDC0980,p-MAPK,208.888965,26.99157399
1,6,DMSO,p-MAPK,346.887465,52.34597657
1,6,GDC0980,p-MAPK,298.60859,7.411978133
1,6,Palbociclib,p-MAPK,281.30662,7.569182113
1,6,Erlotinib,p-MAPK,305.97698,2.236310048
1,6,GNE-317,p-MAPK,299.93555,42.07286762
24,6,DMSO,p-MAPK,339.17573,213.4312072
24,6,GDC0980,p-MAPK,326.73845,202.9326576
24,6,Palbociclib,p-MAPK,524.33616,363.5918278
24,6,Erlotinib,p-MAPK,340.74653,178.4295043
24,6,GNE-317,p-MAPK,380.0351567,270.6890236
1,26,Palbociclib,p-mTOR,703.32594,109.6469049
1,26,GDC0980,p-mTOR,964.239055,52.47063949
1,26,DMSO,p-mTOR,724.769595,246.0788238
1,26,GNE-317,p-mTOR,685.698915,2.578740649
1,26,Erlotinib,p-mTOR,752.059235,106.352756
24,26,Palbociclib,p-mTOR,358.529975,123.0560183
24,26,GNE-317,p-mTOR,170.83338,10.5182558
24,26,DMSO,p-mTOR,200.89252,57.37628471
24,26,Erlotinib,p-mTOR,283.241285,55.97122818
24,26,GDC0980,p-mTOR,140.50198,24.46173684
1,6,DMSO,p-mTOR,218.3029,1.795414828
1,6,GDC0980,p-mTOR,175.11177,6.860972245
1,6,Palbociclib,p-mTOR,180.41468,43.98998967
1,6,Erlotinib,p-mTOR,218.68092,20.22807641
1,6,GNE-317,p-mTOR,178.442405,24.25456163
24,6,DMSO,p-mTOR,205.5591467,117.6444609
24,6,GDC0980,p-mTOR,191.8638633,91.87517916
24,6,Palbociclib,p-mTOR,268.9406767,117.8596623
24,6,Erlotinib,p-mTOR,220.32876,90.51014672
24,6,GNE-317,p-mTOR,248.4968167,179.7906653
1,26,Palbociclib,p-p53,664.62125,70.78257674
1,26,GDC0980,p-p53,933.76687,18.29396966
1,26,DMSO,p-p53,776.467405,287.4898395
1,26,GNE-317,p-p53,693.78867,3.080114712
1,26,Erlotinib,p-p53,742.01947,68.70266457
24,26,Palbociclib,p-p53,344.58364,99.90310075
24,26,GNE-317,p-p53,214.73629,7.522088801
24,26,DMSO,p-p53,213.610015,36.67322346
24,26,Erlotinib,p-p53,277.5247,42.39793875
24,26,GDC0980,p-p53,152.173125,36.95773495
1,6,DMSO,p-p53,296.042235,42.9365632
1,6,GDC0980,p-p53,300.83261,22.99499939
1,6,Palbociclib,p-p53,276.472805,22.60837461
1,6,Erlotinib,p-p53,302.101555,60.88291916
1,6,GNE-317,p-p53,321.71207,17.35590766
24,6,DMSO,p-p53,286.70818,117.0963985
24,6,GDC0980,p-p53,302.3226833,139.3613456
24,6,Palbociclib,p-p53,359.83119,159.4969786
24,6,Erlotinib,p-p53,325.23451,82.59039191
24,6,GNE-317,p-p53,343.04123,161.5213881
1,26,Palbociclib,p-70S6k,1463.77692,369.71491
1,26,GDC0980,p-70S6k,1987.7067,471.4651576
1,26,DMSO,p-70S6k,1862.21749,202.9059879
1,26,GNE-317,p-70S6k,1410.388325,367.4977131
1,26,Erlotinib,p-70S6k,1651.39783,385.5724443
24,26,Palbociclib,p-70S6k,789.111955,109.0559687
24,26,GNE-317,p-70S6k,374.985235,35.63049552
24,26,DMSO,p-70S6k,643.933165,71.71149584
24,26,Erlotinib,p-70S6k,831.68538,169.7561432
24,26,GDC0980,p-70S6k,322.175355,113.4804914
1,6,DMSO,p-70S6k,609.51294,62.07236469
1,6,GDC0980,p-70S6k,489.4004,8.878050907
1,6,Palbociclib,p-70S6k,554.12258,106.41653
1,6,Erlotinib,p-70S6k,541.450575,139.7616281
1,6,GNE-317,p-70S6k,478.613435,176.0573202
24,6,DMSO,p-70S6k,473.9726067,199.8984445
24,6,GDC0980,p-70S6k,388.9100933,200.4295208
24,6,Palbociclib,p-70S6k,702.5270867,256.917078
24,6,Erlotinib,p-70S6k,520.00978,262.9821778
24,6,GNE-317,p-70S6k,508.8309533,315.7443266
1,26,Palbociclib,p-PDK1,1891.89873,148.056422
1,26,GDC0980,p-PDK1,2182.536635,462.0036516
1,26,DMSO,p-PDK1,2235.4701,448.4903956
1,26,GNE-317,p-PDK1,1889.02297,1.878301885
1,26,Erlotinib,p-PDK1,2125.79369,227.8064987
24,26,Palbociclib,p-PDK1,1094.959975,598.4808465
24,26,GNE-317,p-PDK1,509.10029,66.1310162
24,26,DMSO,p-PDK1,1099.55459,269.6551286
24,26,Erlotinib,p-PDK1,824.13895,81.17751311
24,26,GDC0980,p-PDK1,500.16102,201.5276105
1,6,DMSO,p-PDK1,797.330135,95.08650856
1,6,GDC0980,p-PDK1,557.068035,62.47185881
1,6,Palbociclib,p-PDK1,664.67038,54.15001103
1,6,Erlotinib,p-PDK1,707.421,253.7812884
1,6,GNE-317,p-PDK1,636.54734,231.0648467
24,6,DMSO,p-PDK1,606.8517467,266.3731628
24,6,GDC0980,p-PDK1,681.5512567,336.703171
