Change,Target,Treatment
0.16533315515139255,hydroxy-HIF,Palbociclib_GBM-26
-0.3248377864354287,hydroxy-HIF,GNE-317_GBM-26
0.5262167721760369,hydroxy-HIF,(+)-Serum_GBM-26
-0.016307368022650204,hydroxy-HIF,DMSO_GBM-26
-0.022306028853009925,hydroxy-HIF,Erlotinib_GBM-26
-0.47083438584675275,hydroxy-HIF,GDC0980_GBM-26
0.0380207965839999,hydroxy-HIF,(-)-Serum_GBM-26
-0.2200515355199606,hydroxy-HIF,DMSO_GBM-6
-0.14507512277060375,hydroxy-HIF,GDC0980_GBM-6
0.22180553404323816,hydroxy-HIF,Palbociclib_GBM-6
0.4685334056292765,hydroxy-HIF,(+)-Serum_GBM-6
-0.05172754033950478,hydroxy-HIF,Erlotinib_GBM-6
-0.11791908422478274,hydroxy-HIF,(-)-Serum_GBM-6
-0.0508508115712512,hydroxy-HIF,GNE-317_GBM-6
0.2630450780249197,p-Akt_308,Palbociclib_GBM-26
-0.21413966638142556,p-Akt_308,GNE-317_GBM-26
0.45114749003464066,p-Akt_308,(+)-Serum_GBM-26
-0.16974308568104504,p-Akt_308,DMSO_GBM-26
-0.12004697421727856,p-Akt_308,Erlotinib_GBM-26
-0.5132030044986937,p-Akt_308,GDC0980_GBM-26
-0.0023497595374327223,p-Akt_308,(-)-Serum_GBM-26
-0.13998719283652575,p-Akt_308,DMSO_GBM-6
-0.11181366522106691,p-Akt_308,GDC0980_GBM-6
0.13117582207263584,p-Akt_308,Palbociclib_GBM-6
0.44456067175655606,p-Akt_308,(+)-Serum_GBM-6
-0.12482737005483639,p-Akt_308,Erlotinib_GBM-6
-0.027381926455978412,p-Akt_308,(-)-Serum_GBM-6
0.13356358299553098,p-Akt_308,GNE-317_GBM-6
-0.114613337213195,p-Akt_473,Palbociclib_GBM-26
-0.4789967883147371,p-Akt_473,GNE-317_GBM-26
0.380445334912552,p-Akt_473,(+)-Serum_GBM-26
-0.28232955215081385,p-Akt_473,DMSO_GBM-26
-0.24107965506709925,p-Akt_473,Erlotinib_GBM-26
-0.642340625193088,p-Akt_473,GDC0980_GBM-26
-0.34539880126590505,p-Akt_473,(-)-Serum_GBM-26
0.2051689723211586,p-Akt_473,DMSO_GBM-6
-0.41633359808480824,p-Akt_473,GDC0980_GBM-6
0.5691064731291282,p-Akt_473,Palbociclib_GBM-6
1.0632837950553462,p-Akt_473,(+)-Serum_GBM-6
0.029437956208195563,p-Akt_473,Erlotinib_GBM-6
0.5802435388992719,p-Akt_473,(-)-Serum_GBM-6
-0.30659371323600537,p-Akt_473,GNE-317_GBM-6
0.2113587267341321,p-c-Abl,Palbociclib_GBM-26
-0.3781940313586188,p-c-Abl,GNE-317_GBM-26
0.524084664535376,p-c-Abl,(+)-Serum_GBM-26
-0.004615620658094381,p-c-Abl,DMSO_GBM-26
0.001830275470437531,p-c-Abl,Erlotinib_GBM-26
-0.44103918119065993,p-c-Abl,GDC0980_GBM-26
0.018780288156539513,p-c-Abl,(-)-Serum_GBM-26
-0.20898829684724415,p-c-Abl,DMSO_GBM-6
-0.17643638750457732,p-c-Abl,GDC0980_GBM-6
0.11581678987771665,p-c-Abl,Palbociclib_GBM-6
0.47880805475652466,p-c-Abl,(+)-Serum_GBM-6
-0.09855401470801595,p-c-Abl,Erlotinib_GBM-6
-0.05642097366321528,p-c-Abl,(-)-Serum_GBM-6
0.013569706399700206,p-c-Abl,GNE-317_GBM-6
0.7008185145585092,p-GSK3b,Palbociclib_GBM-26
-0.5082874756195205,p-GSK3b,GNE-317_GBM-26
0.8220142141354769,p-GSK3b,(+)-Serum_GBM-26
0.2664905751000689,p-GSK3b,DMSO_GBM-26
0.4388392229600062,p-GSK3b,Erlotinib_GBM-26
-0.6405785162377902,p-GSK3b,GDC0980_GBM-26
0.3781669097519907,p-GSK3b,(-)-Serum_GBM-26
-0.41608900319874526,p-GSK3b,DMSO_GBM-6
-0.614561849908608,p-GSK3b,GDC0980_GBM-6
0.01804883703035956,p-GSK3b,Palbociclib_GBM-6
0.40676285528495926,p-GSK3b,(+)-Serum_GBM-6
-0.28098839995639885,p-GSK3b,Erlotinib_GBM-6
-0.14394097636990497,p-GSK3b,(-)-Serum_GBM-6
-0.4266949075304031,p-GSK3b,GNE-317_GBM-6
0.19106310454404693,p-MAPK,Palbociclib_GBM-26
-0.34707796567664917,p-MAPK,GNE-317_GBM-26
