Change,Target,Treatment
0.3453248111612041,hydroxy-HIF,Palbociclib
-0.2205555351688802,hydroxy-HIF,GNE-317
0.13562898172554802,hydroxy-HIF,DMSO
0.12870379710074825,hydroxy-HIF,Erlotinib
-0.38910205481862004,hydroxy-HIF,GDC0980
0.487365935432015,p-Akt_308,Palbociclib
-0.07456835027669148,p-Akt_308,GNE-317
-0.02228679443019336,p-Akt_308,DMSO
0.0362355058429093,p-Akt_308,Erlotinib
-0.4267462965680395,p-Akt_308,GDC0980
0.36606758432771463,p-Akt_473,Palbociclib
-0.19614149531723105,p-Akt_473,GNE-317
0.10729738344025308,p-Akt_473,DMSO
0.17094205941216295,p-Akt_473,Erlotinib
-0.44816553186289937,p-Akt_473,GDC0980
0.37988704462940187,p-c-Abl,Palbociclib
-0.2916862846113826,p-c-Abl,GNE-317
0.133865616491185,p-c-Abl,DMSO
0.14120828746262232,p-c-Abl,Erlotinib
-0.36327466397182634,p-c-Abl,GDC0980
0.6175833926988197,p-GSK3b,Palbociclib
-0.532351037684735,p-GSK3b,GNE-317
0.2045107127865604,p-GSK3b,DMSO
0.3684249153578431,p-GSK3b,Erlotinib
-0.6581679831584883,p-GSK3b,GDC0980
0.3922731387987735,p-MAPK,Palbociclib
-0.2367777940143266,p-MAPK,GNE-317
0.04747306802322885,p-MAPK,DMSO
0.19929287236932094,p-MAPK,Erlotinib
-0.4022612851769968,p-MAPK,GDC0980
0.553423926295127,p-mTOR,Palbociclib
-0.2598201589647631,p-mTOR,GNE-317
-0.12958115376065185,p-mTOR,DMSO
0.22721618752679493,p-mTOR,Erlotinib
-0.3912388010965068,p-mTOR,GDC0980
0.4326279859644352,p-p53,Palbociclib
-0.10722047437836897,p-p53,GNE-317
-0.1119030329725381,p-p53,DMSO
0.15382625831099841,p-p53,Erlotinib
-0.36733073692452656,p-p53,GDC0980
0.3321083237398845,p-70S6k,Palbociclib
-0.36698341767860215,p-70S6k,GNE-317
0.08703045695039376,p-70S6k,DMSO
0.4039769774249193,p-70S6k,Erlotinib
-0.4561323404365959,p-70S6k,GDC0980
0.3592144106473255,p-PDK1,Palbociclib
-0.36803493604162796,p-PDK1,GNE-317
0.3649178765839469,p-PDK1,DMSO
0.023034232110407248,p-PDK1,Erlotinib
-0.3791315833000515,p-PDK1,GDC0980
0.3016497601994231,p-Rb_780,Palbociclib
-0.19114551728291782,p-Rb_780,GNE-317
0.1761955835446769,p-Rb_780,DMSO
0.1577200562581801,p-Rb_780,Erlotinib
-0.44441988271936256,p-Rb_780,GDC0980
0.3355113317290706,p-RB_807,Palbociclib
-0.15901682983337181,p-RB_807,GNE-317
0.0794203514349269,p-RB_807,DMSO
0.1296386463523495,p-RB_807,Erlotinib
-0.3855534996829751,p-RB_807,GDC0980
0.3367446800028408,p-S6_235,Palbociclib
-0.5512787380268364,p-S6_235,GNE-317
0.6561849101470796,p-S6_235,DMSO
0.24879873173398584,p-S6_235,Erlotinib
-0.6904495838570697,p-S6_235,GDC0980
0.40982113942964515,p-S6_240,Palbociclib
-0.5501062072797605,p-S6_240,GNE-317
0.5399377329563391,p-S6_240,DMSO
0.2871645905582479,p-S6_240,Erlotinib
-0.6868172556644719,p-S6_240,GDC0980
0.16029335234371414,p-Src,Palbociclib
-0.30775339181779443,p-Src,GNE-317
0.1301167590710297,p-Src,DMSO
0.27312905393305337,p-Src,Erlotinib
-0.2557857735300025,p-Src,GDC0980
