Change,Target,Treatment
-0.012007029738146595,hydroxy-HIF,DMSO_1h
-0.31604753267658803,hydroxy-HIF,GDC0980_1h
-0.2014373950595239,hydroxy-HIF,Palbociclib_1h
0.15092938062331623,hydroxy-HIF,(+)-Serum_1h
-0.24044025768737223,hydroxy-HIF,Erlotinib_1h
0.031205899801669823,hydroxy-HIF,(-)-Serum_1h
-0.1667015123211379,hydroxy-HIF,GNE-317_1h
-0.14871894392183696,hydroxy-HIF,DMSO_24h
-0.06688533217317483,hydroxy-HIF,GDC0980_24h
0.33354952629577256,hydroxy-HIF,Palbociclib_24h
0.6028426561023706,hydroxy-HIF,(+)-Serum_24h
0.03499964122345269,hydroxy-HIF,Erlotinib_24h
-0.037245654393185515,hydroxy-HIF,(-)-Serum_24h
0.035956553924384245,hydroxy-HIF,GNE-317_24h
0.08250924555729273,p-Akt_308,DMSO_1h
-0.2232543198981717,p-Akt_308,GDC0980_1h
-0.2541563717825853,p-Akt_308,Palbociclib_1h
0.26151544879357924,p-Akt_308,(+)-Serum_1h
-0.060774016575875243,p-Akt_308,Erlotinib_1h
0.06947500233264478,p-Akt_308,(-)-Serum_1h
-0.22565358379978961,p-Akt_308,GNE-317_1h
-0.13468385289542983,p-Akt_308,DMSO_24h
-0.1063365908971338,p-Akt_308,GDC0980_24h
0.13815131112074194,p-Akt_308,Palbociclib_24h
0.45346867433983234,p-Akt_308,(+)-Serum_24h
-0.1194305458156133,p-Akt_308,Erlotinib_24h
-0.021384196847892133,p-Akt_308,(-)-Serum_24h
0.1405537963683991,p-Akt_308,GNE-317_24h
-0.3163206817171046,p-Akt_473,DMSO_1h
-0.5429274255988445,p-Akt_473,GDC0980_1h
-0.31921135866882766,p-Akt_473,Palbociclib_1h
0.7695553730960274,p-Akt_473,(+)-Serum_1h
-0.37621807673685137,p-Akt_473,Erlotinib_1h
-0.37956186164901085,p-Akt_473,(-)-Serum_1h
-0.5615685893596342,p-Akt_473,GNE-317_1h
0.20543685119585153,p-Akt_473,DMSO_24h
-0.4162038636637171,p-Akt_473,GDC0980_24h
0.5694552461941083,p-Akt_473,Palbociclib_24h
1.0637424113605163,p-Akt_473,(+)-Serum_24h
0.029666774479831053,p-Akt_473,Erlotinib_24h
0.5805947874550043,p-Akt_473,(-)-Serum_24h
-0.30643958638734814,p-Akt_473,GNE-317_24h
-0.0675045881075159,p-c-Abl,DMSO_1h
-0.21268639409314496,p-c-Abl,GDC0980_1h
-0.18454684938105426,p-c-Abl,Palbociclib_1h
0.21238299643128175,p-c-Abl,(+)-Serum_1h
-0.10808029160369559,p-c-Abl,Erlotinib_1h
-0.021438060379537292,p-c-Abl,(-)-Serum_1h
-0.3221683643413316,p-c-Abl,GNE-317_1h
-0.13778100047971084,p-c-Abl,DMSO_24h
