Change,Target,Treatment
0.06783871845177054,hydroxy-HIF,DMSO_1h
-0.26077315510150884,hydroxy-HIF,GDC0980_1h
-0.13690067203905304,hydroxy-HIF,Palbociclib_1h
-0.17905559428858445,hydroxy-HIF,Erlotinib_1h
-0.09935757039348334,hydroxy-HIF,GNE-317_1h
-0.07992172077514904,hydroxy-HIF,DMSO_24h
0.00852536511131325,hydroxy-HIF,GDC0980_24h
0.4413218109985423,hydroxy-HIF,Palbociclib_24h
0.1186442856867425,hydroxy-HIF,Erlotinib_24h
0.11967853234941071,hydroxy-HIF,GNE-317_24h
0.1719368049343182,p-Akt_308,DMSO_1h
-0.1590863040468208,p-Akt_308,GDC0980_1h
-0.1925412164182066,p-Akt_308,Palbociclib_1h
0.016816717864332986,p-Akt_308,Erlotinib_1h
-0.1616837743987796,p-Akt_308,GNE-317_1h
-0.06319891044096163,p-Akt_308,DMSO_24h
-0.03250984261889766,p-Akt_308,GDC0980_24h
0.23217553712436423,p-Akt_308,Palbociclib_24h
-0.04668550694148445,p-Akt_308,Erlotinib_24h
0.2347764949421348,p-Akt_308,GNE-317_24h
-0.1417176719052211,p-Akt_473,DMSO_1h
-0.4261968984953681,p-Akt_473,GDC0980_1h
-0.14534659101619557,p-Akt_473,Palbociclib_1h
-0.21691210044735923,p-Akt_473,Erlotinib_1h
-0.44959877859200464,p-Akt_473,GNE-317_1h
0.5132901045099513,p-Akt_473,DMSO_24h
-0.26710974922293823,p-Akt_473,GDC0980_24h
0.9702741717084705,p-Akt_473,Palbociclib_24h
0.29263058385614615,p-Akt_473,Erlotinib_24h
-0.12931307039548143,p-Akt_473,GNE-317_24h
0.017052838820784882,p-c-Abl,DMSO_1h
-0.14129385762369828,p-c-Abl,GDC0980_1h
-0.1106026569297735,p-c-Abl,Palbociclib_1h
-0.02720221477158401,p-c-Abl,Erlotinib_1h
-0.26070350535014664,p-c-Abl,GNE-317_1h
-0.059596143891338084,p-c-Abl,DMSO_24h
-0.02089641170339111,p-c-Abl,GDC0980_24h
0.326552322461852,p-c-Abl,Palbociclib_24h
0.07169499169666048,p-c-Abl,Erlotinib_24h
0.20499463729063488,p-c-Abl,GNE-317_24h
0.25434671692582544,p-GSK3b,DMSO_1h
-0.07440223264305175,p-GSK3b,GDC0980_1h
0.08801134164830254,p-GSK3b,Palbociclib_1h
1.007959435300573,p-GSK3b,Erlotinib_1h
-0.2554571887722703,p-GSK3b,GNE-317_1h
-0.2914937660834563,p-GSK3b,DMSO_24h
-0.5323168537242645,p-GSK3b,GDC0980_24h
0.23528063595110435,p-GSK3b,Palbociclib_24h
-0.12756532471575918,p-GSK3b,Erlotinib_24h
-0.30436276388700295,p-GSK3b,GNE-317_24h
0.0072965338654069215,p-MAPK,DMSO_1h
-0.1328963193021795,p-MAPK,GDC0980_1h
-0.18313801486198658,p-MAPK,Palbociclib_1h
-0.11149988830929666,p-MAPK,Erlotinib_1h
-0.12904307482539212,p-MAPK,GNE-317_1h
-0.015096907003344495,p-MAPK,DMSO_24h
-0.05121244964687453,p-MAPK,GDC0980_24h
0.5225744653191702,p-MAPK,Palbociclib_24h
-0.010535596621616515,p-MAPK,Erlotinib_24h
0.10355125138611385,p-MAPK,GNE-317_24h
0.03650611585010737,p-mTOR,DMSO_1h
-0.16856615023283075,p-mTOR,GDC0980_1h
-0.1433878376826874,p-mTOR,Palbociclib_1h
0.03830096164424776,p-mTOR,Erlotinib_1h
-0.15275223503901325,p-mTOR,GNE-317_1h
-0.02400145520980511,p-mTOR,DMSO_24h
-0.08902690838702115,p-mTOR,GDC0980_24h
0.2769351950909331,p-mTOR,Palbociclib_24h
0.04612493575518464,p-mTOR,Erlotinib_24h
0.1798673782108855,p-mTOR,GNE-317_24h
-0.04940974354913077,p-p53,DMSO_1h
-0.03402787143299228,p-p53,GDC0980_1h
-0.11224709336949455,p-p53,Palbociclib_1h
-0.029953294868023176,p-p53,Erlotinib_1h
0.03301597869857986,p-p53,GNE-317_1h
-0.07938135126982135,p-p53,DMSO_24h
-0.029243252912673386,p-p53,GDC0980_24h
0.15541629788439287,p-p53,Palbociclib_24h
0.044326517355109105,p-p53,Erlotinib_24h
0.10150381346405386,p-p53,GNE-317_24h
0.15715281484640906,p-70S6k,DMSO_1h
-0.07087936402636742,p-70S6k,GDC0980_1h
0.051994898118085074,p-70S6k,Palbociclib_1h
0.02793725258967712,p-70S6k,Erlotinib_1h
-0.09135828431540953,p-70S6k,GNE-317_1h
-0.10016883972472354,p-70S6k,DMSO_24h
-0.2616589744849804,p-70S6k,GDC0980_24h
0.33373902755986173,p-70S6k,Palbociclib_24h
-0.012767832829501663,p-70S6k,Erlotinib_24h
-0.03399069773305104,p-70S6k,GNE-317_24h
0.07156092557457626,p-PDK1,DMSO_1h
-0.2513360363676579,p-PDK1,GDC0980_1h
-0.10672533705902724,p-PDK1,Palbociclib_1h
-0.049271226239439296,p-PDK1,Erlotinib_1h
-0.14452091187744406,p-PDK1,GNE-317_1h
-0.1844298981871539,p-PDK1,DMSO_24h
-0.08403851378830987,p-PDK1,GDC0980_24h
0.48699156118091796,p-PDK1,Palbociclib_24h
0.30344335068127337,p-PDK1,Erlotinib_24h
-0.04167391391773608,p-PDK1,GNE-317_24h
0.3787372120690624,p-Rb_780,DMSO_1h
0.49804635422729354,p-Rb_780,GDC0980_1h
-0.28820592048190696,p-Rb_780,Palbociclib_1h
0.4962898019006784,p-Rb_780,Erlotinib_1h
0.546948429171294,p-Rb_780,GNE-317_1h
-0.0563093866104254,p-Rb_780,DMSO_24h
-0.33519129329035585,p-Rb_780,GDC0980_24h
-0.6645771439112796,p-Rb_780,Palbociclib_24h
-0.29633281998393596,p-Rb_780,Erlotinib_24h
-0.279405233090425,p-Rb_780,GNE-317_24h
0.35211576386542964,p-RB_807,DMSO_1h
0.40260056338707484,p-RB_807,GDC0980_1h
-0.10064651700542766,p-RB_807,Palbociclib_1h
0.38336014534518525,p-RB_807,Erlotinib_1h
0.5343559276937916,p-RB_807,GNE-317_1h
-0.0053872519035370455,p-RB_807,DMSO_24h
-0.32732982255011606,p-RB_807,GDC0980_24h
-0.7131992185371382,p-RB_807,Palbociclib_24h
-0.26350955508706864,p-RB_807,Erlotinib_24h
-0.2623600352081943,p-RB_807,GNE-317_24h
0.3522626098548004,p-S6_235,DMSO_1h
-0.2830612009474979,p-S6_235,GDC0980_1h
0.41557187336473533,p-S6_235,Palbociclib_1h
-0.003573209959236798,p-S6_235,Erlotinib_1h
-0.3374797096533626,p-S6_235,GNE-317_1h
0.04744148580150916,p-S6_235,DMSO_24h
-0.35196602753552647,p-S6_235,GDC0980_24h
0.4111292167261735,p-S6_235,Palbociclib_24h
-0.1375067942167226,p-S6_235,Erlotinib_24h
-0.112818243434872,p-S6_235,GNE-317_24h
0.18672071711830243,p-S6_240,DMSO_1h
-0.0673247592070828,p-S6_240,GDC0980_1h
0.13343040417119004,p-S6_240,Palbociclib_1h
-0.03895125510847664,p-S6_240,Erlotinib_1h
-0.22497881072982162,p-S6_240,GNE-317_1h
0.08095155355456315,p-S6_240,DMSO_24h
-0.18237584948203409,p-S6_240,GDC0980_24h
0.34528237033650444,p-S6_240,Palbociclib_24h
-0.1494140001963468,p-S6_240,Erlotinib_24h
-0.08334037045679814,p-S6_240,GNE-317_24h
-0.03613374423873922,p-Src,DMSO_1h
-0.17119179281258734,p-Src,GDC0980_1h
-0.02792152737993796,p-Src,Palbociclib_1h
