Change,Target,Treatment
1.0141973750550466,hydroxy-HIF,Palbociclib_1h_GBM26
1.4359559940059878,hydroxy-HIF,GDC0980_1h_GBM26
1.098766198959729,hydroxy-HIF,DMSO_1h_GBM26
1.0100686431669048,hydroxy-HIF,GNE-317_1h_GBM26
1.1450399266304259,hydroxy-HIF,Erlotinib_1h_GBM26
-0.15420976167286424,hydroxy-HIF,Palbociclib_24h_GBM26
-0.5099722281169725,hydroxy-HIF,GNE-317_24h_GBM26
-0.2860431182594454,hydroxy-HIF,DMSO_24h_GBM26
-0.2903969021974768,hydroxy-HIF,Erlotinib_24h_GBM26
-0.6159354868341872,hydroxy-HIF,GDC0980_24h_GBM26
-0.3430090933767863,hydroxy-HIF,DMSO_1h_GBM6
-0.5451885133606788,hydroxy-HIF,GDC0980_1h_GBM6
-0.46897560447602366,hydroxy-HIF,Palbociclib_1h_GBM6
-0.4949115441537922,hydroxy-HIF,Erlotinib_1h_GBM6
-0.445877100964808,hydroxy-HIF,GNE-317_1h_GBM6
-0.433919137424906,hydroxy-HIF,DMSO_24h_GBM6
-0.3795018081591358,hydroxy-HIF,GDC0980_24h_GBM6
-0.11322252416855651,hydroxy-HIF,Palbociclib_24h_GBM6
-0.31175081897406953,hydroxy-HIF,Erlotinib_24h_GBM6
-0.31111449567839095,hydroxy-HIF,GNE-317_24h_GBM6
1.141084678728479,p-Akt_308,Palbociclib_1h_GBM26
1.5435697806178656,p-Akt_308,GDC0980_1h_GBM26
0.9556762840045313,p-Akt_308,DMSO_1h_GBM26
0.8720103296138402,p-Akt_308,GNE-317_1h_GBM26
0.9710190560127784,p-Akt_308,Erlotinib_1h_GBM26
-0.10474135324414162,p-Akt_308,Palbociclib_24h_GBM26
-0.4429745453625121,p-Akt_308,GNE-317_24h_GBM26
-0.4115058167716345,p-Akt_308,DMSO_24h_GBM26
-0.3762807291859624,p-Akt_308,Erlotinib_24h_GBM26
-0.6549535507324794,p-Akt_308,GDC0980_24h_GBM26
-0.23740948610245252,p-Akt_308,DMSO_1h_GBM6
-0.4528093965131837,p-Akt_308,GDC0980_1h_GBM6
-0.47457882871317536,p-Akt_308,Palbociclib_1h_GBM6
-0.3383476138380706,p-Akt_308,Erlotinib_1h_GBM6
-0.4544995953721955,p-Akt_308,GNE-317_1h_GBM6
-0.3904145502567025,p-Akt_308,DMSO_24h_GBM6
-0.3704448796200882,p-Akt_308,GDC0980_24h_GBM6
-0.19821156557983652,p-Akt_308,Palbociclib_24h_GBM6
-0.37966912029167155,p-Akt_308,Erlotinib_24h_GBM6
-0.19651909739338796,p-Akt_308,GNE-317_24h_GBM6
0.7639227623391571,p-Akt_473,Palbociclib_1h_GBM26
1.1644135223704115,p-Akt_473,GDC0980_1h_GBM26
0.812916966248824,p-Akt_473,DMSO_1h_GBM26
0.5917446404325625,p-Akt_473,GNE-317_1h_GBM26
0.8933730296202027,p-Akt_473,Erlotinib_1h_GBM26
-0.14866400455155196,p-Akt_473,Palbociclib_24h_GBM26
-0.49903380467036096,p-Akt_473,GNE-317_24h_GBM26
-0.3099301008211145,p-Akt_473,DMSO_24h_GBM26
-0.27026661403967167,p-Akt_473,Erlotinib_24h_GBM26
-0.6560956781025843,p-Akt_473,GDC0980_24h_GBM26
-0.34276006956904054,p-Akt_473,DMSO_1h_GBM6
-0.56060343063206175,p-Akt_473,GDC0980_1h_GBM6
-0.3455389576644424,p-Akt_473,Palbociclib_1h_GBM6
-0.40034110015315516,p-Akt_473,Erlotinib_1h_GBM6
-0.5785236994564347,p-Akt_473,GNE-317_1h_GBM6
0.15881994823054085,p-Akt_473,DMSO_24h_GBM6
-0.4387805484665033,p-Akt_473,GDC0980_24h_GBM6
0.5087609486474162,p-Akt_473,Palbociclib_24h_GBM6
-0.010152711762780939,p-Akt_473,Erlotinib_24h_GBM6
-0.33326109799941406,p-Akt_473,GNE-317_24h_GBM6
0.8383707733381117,p-c-Abl,Palbociclib_1h_GBM26
1.5644316990732383,p-c-Abl,GDC0980_1h_GBM26
1.1729736748038995,p-c-Abl,DMSO_1h_GBM26
1.1386058477478895,p-c-Abl,GNE-317_1h_GBM26
1.243362942994025,p-c-Abl,Erlotinib_1h_GBM26
-0.14431425358911187,p-c-Abl,Palbociclib_24h_GBM26
-0.5607655332338032,p-c-Abl,GNE-317_24h_GBM26
-0.29687531298079683,p-c-Abl,DMSO_24h_GBM26
-0.29232202804686125,p-c-Abl,Erlotinib_24h_GBM26
-0.6051584102202229,p-c-Abl,GDC0980_24h_GBM26
-0.39569867077596577,p-c-Abl,DMSO_1h_GBM6
-0.48978337855828896,p-c-Abl,GDC0980_1h_GBM6
-0.4715476166913596,p-c-Abl,Palbociclib_1h_GBM6
-0.4219936543696961,p-c-Abl,Erlotinib_1h_GBM6
-0.5607328967042008,p-c-Abl,GNE-317_1h_GBM6
-0.4412411247848551,p-c-Abl,DMSO_24h_GBM6
-0.4182469412880511,p-c-Abl,GDC0980_24h_GBM6
-0.21180365350695063,p-c-Abl,Palbociclib_24h_GBM6
-0.3632319941647095,p-c-Abl,Erlotinib_24h_GBM6
-0.28402946904228993,p-c-Abl,GNE-317_24h_GBM6
0.7406037359312089,p-GSK3b,Palbociclib_1h_GBM26
0.8481446192769164,p-GSK3b,GDC0980_1h_GBM26
0.9060428361192642,p-GSK3b,DMSO_1h_GBM26
0.611966098475281,p-GSK3b,GNE-317_1h_GBM26
0.5121243109367813,p-GSK3b,Erlotinib_1h_GBM26
0.434003883203018,p-GSK3b,Palbociclib_24h_GBM26
-0.5854245098194985,p-GSK3b,GNE-317_24h_GBM26
0.0678108141390682,p-GSK3b,DMSO_24h_GBM26
0.2131223968743334,p-GSK3b,Erlotinib_24h_GBM26
-0.6969624924647603,p-GSK3b,GDC0980_24h_GBM26
-0.12840861563677955,p-GSK3b,DMSO_1h_GBM6
-0.3568420688409594,p-GSK3b,GDC0980_1h_GBM6
-0.2439878873408765,p-GSK3b,Palbociclib_1h_GBM6
0.39524432945305704,p-GSK3b,Erlotinib_1h_GBM6
-0.48264934184538144,p-GSK3b,GNE-317_1h_GBM6
-0.507689603746291,p-GSK3b,DMSO_24h_GBM6
-0.6750271711916798,p-GSK3b,GDC0980_24h_GBM6
-0.1416568122373699,p-GSK3b,Palbociclib_24h_GBM6
-0.393782806510559,p-GSK3b,Erlotinib_24h_GBM6
-0.5166317147747713,p-GSK3b,GNE-317_24h_GBM6
1.0829429732859461,p-MAPK,Palbociclib_1h_GBM26
1.7021914940774143,p-MAPK,GDC0980_1h_GBM26
1.1997620414417944,p-MAPK,DMSO_1h_GBM26
1.1531794096777073,p-MAPK,GNE-317_1h_GBM26
1.0184900961086205,p-MAPK,Erlotinib_1h_GBM26
-0.17111881850749905,p-MAPK,Palbociclib_24h_GBM26
-0.5456203914236751,p-MAPK,GNE-317_24h_GBM26
-0.3763934029828648,p-MAPK,DMSO_24h_GBM26
-0.2860084237043577,p-MAPK,Erlotinib_24h_GBM26
-0.6441399619375201,p-MAPK,GDC0980_24h_GBM26
-0.4090478331476381,p-MAPK,DMSO_1h_GBM6
-0.49129498437993857,p-MAPK,GDC0980_1h_GBM6
-0.5207703551959886,p-MAPK,Palbociclib_1h_GBM6
-0.4787423081490079,p-MAPK,Erlotinib_1h_GBM6
-0.4890343956690539,p-MAPK,GNE-317_1h_GBM6
-0.42218542665636066,p-MAPK,DMSO_24h_GBM6
-0.44337338617444105,p-MAPK,GDC0980_24h_GBM6
-0.10674895701103908,p-MAPK,Palbociclib_24h_GBM6
-0.419509435860061,p-MAPK,Erlotinib_24h_GBM6
-0.3525779337920386,p-MAPK,GNE-317_24h_GBM6
0.9839287617702692,p-mTOR,Palbociclib_1h_GBM26
1.7199076354793408,p-mTOR,GDC0980_1h_GBM26
1.0444166259203942,p-mTOR,DMSO_1h_GBM26
0.9342067767089144,p-mTOR,GNE-317_1h_GBM26
1.1213947360898504,p-mTOR,Erlotinib_1h_GBM26
0.011334701176065805,p-mTOR,Palbociclib_24h_GBM26
-0.5181163714046578,p-mTOR,GNE-317_24h_GBM26
-0.4333261070215766,p-mTOR,DMSO_24h_GBM26
-0.2010382386404375,p-mTOR,Erlotinib_24h_GBM26
-0.6036746217441217,p-mTOR,GDC0980_24h_GBM26
-0.3842152301565062,p-mTOR,DMSO_1h_GBM6
-0.506047968275562,p-mTOR,GDC0980_1h_GBM6
-0.4910896181398067,p-mTOR,Palbociclib_1h_GBM6
-0.38314891835443565,p-mTOR,Erlotinib_1h_GBM6
-0.49665297486545296,p-mTOR,GNE-317_1h_GBM6
-0.4201625730126146,p-mTOR,DMSO_24h_GBM6
-0.4587939743197454,p-mTOR,GDC0980_24h_GBM6
-0.24137712919405574,p-mTOR,Palbociclib_24h_GBM6
-0.3785007218570968,p-mTOR,Erlotinib_24h_GBM6
-0.29904479015876395,p-mTOR,GNE-317_24h_GBM6
0.6354693306217816,p-p53,Palbociclib_1h_GBM26
1.2977704637576608,p-p53,GDC0980_1h_GBM26
0.9106951923444845,p-p53,DMSO_1h_GBM26
0.7072431730370886,p-p53,GNE-317_1h_GBM26
0.8259273020674994,p-p53,Erlotinib_1h_GBM26
-0.1520644652062856,p-p53,Palbociclib_24h_GBM26
-0.47158683766655857,p-p53,GNE-317_24h_GBM26
-0.47435832326131805,p-p53,DMSO_24h_GBM26
-0.3170800131051923,p-p53,Erlotinib_24h_GBM26
-0.6255393897165119,p-p53,GDC0980_24h_GBM26
-0.27151291670071315,p-p53,DMSO_1h_GBM6
-0.2597249827538565,p-p53,GDC0980_1h_GBM6
-0.3196684678251315,p-p53,Palbociclib_1h_GBM6
-0.25660242140068595,p-p53,Erlotinib_1h_GBM6
-0.20834577020243078,p-p53,GNE-317_1h_GBM6
-0.29448172891193397,p-p53,DMSO_24h_GBM6
