Target,Average Shift,SD,SE,CV,run
thermal,0.1552775000000004,0.11506542613516633,0.05753271306758317,74.10309036091259,XP-000
p-c-Abl_ch1,-3.9622472500000008,45.264025015529384,22.632012507764692,-1142.3826470074368,XP-000
p-c-Abl_ch2,-64.7087675,9.329137853375924,4.664568926687962,-14.417115661144257,XP-000
hydroxy-HIF_ch2,-28.064032499999993,4.5228818053638875,2.2614409026819438,-16.116293356501384,XP-000
p-PDK1_ch1,49.67660000000001,23.87518463120233,11.937592315601165,48.06122929347485,XP-000
p-PDK1_ch2,-51.724334999999996,14.299251183952482,7.149625591976241,-27.645113627758544,XP-000
p-GSK3b_ch1,-4.420240499999995,28.637433429606794,14.318716714803397,-647.8704819252895,XP-000
p-GSK3b_ch2,43.478029750000005,17.19481011018403,8.597405055092015,39.548273482158024,XP-000
p-p70S6K_ch1,-34.85659000000001,13.228473541964952,6.614236770982476,-37.9511407798782,XP-000
p-p70S6K_ch2,-57.11548499999999,6.533725913512133,3.2668629567560665,-11.439500012145801,XP-000
p-S6_235_ch1,-27.935492500000006,63.51896723993046,31.75948361996523,-227.37729517362348,XP-000
p-S6_235_ch2,-79.133725,0.8213758321458808,0.4106879160729404,-1.0379592672351527,XP-000
p-Rb_780_ch1,-87.1623975,33.40450367106344,16.70225183553172,-38.324443371424515,XP-000
p-Rb_780_ch2,-87.00817250000001,3.854485687441551,1.9272428437207756,-4.430027176402941,XP-000
p-Akt_308_ch1,-3.801534,36.6325421846412,18.3162710923206,-963.6252677114344,XP-000
p-Akt_308_ch2,-63.16857250000001,11.978164877822142,5.989082438911071,-18.96222188307665,XP-000
p-S6_240_ch1,-23.217639999999992,88.71525009244876,44.35762504622438,-382.10278948441265,XP-000
p-S6_240_ch2,-60.0557975,13.572757705149373,6.786378852574686,-22.600245555226163,XP-000
p-Rb_807_ch1,-37.561330000000005,65.45334688515528,32.72667344257764,-174.25726640977643,XP-000
p-Rb_807_ch2,-72.53481000000001,11.19745241246418,5.59872620623209,-15.437349890989138,XP-000
p-mTOR_ch1,-38.663428749999994,76.80767456180777,38.403837280903886,-198.65717305738897,XP-000
p-mTOR_ch2,-83.63629250000001,14.986498653631278,7.493249326815639,-17.91865493515423,XP-000
p-MAPK_ch1,8.99818799999999,49.274992228880905,24.637496114440452,547.6101658342875,XP-000
p-MAPK_ch2,-101.23007750000001,16.4634685556383,8.23173427781915,-16.263415935484492,XP-000
p-Akt_473_ch1,40.392619599999996,46.31678172555943,23.158390862779715,114.66644695052022,XP-000
p-Akt_473_ch2,-53.15316750000001,20.202925746824196,10.101462873412098,-38.00888394247472,XP-000
p-p53_ch1,78.7502275,54.151163982825196,27.075581991412598,68.76318418613482,XP-000
p-p53_ch2,-22.6664375,8.103041305466219,4.051520652733109,-35.74907307540595,XP-000
p-Src_ch1,92.997365,60.453205773024415,30.226602886512207,65.00528888428657,XP-000
p-Src_ch2,-27.95732249999999,17.37291526900878,8.68645763450439,-62.14084080837421,XP-000
hydroxy-HIF_ch1,28.381140000000006,43.351518732763374,21.675759366381687,152.74763005560513,XP-000
thermal,-0.10749249999999755,0.6039666274513845,0.30198331372569226,-561.868621021372,XP-001a
p-c-Abl_ch1,535.452255,40.49099471044104,20.24549735522052,7.562017776998818,XP-001a
p-c-Abl_ch2,494.75774125000004,50.94812355836444,25.47406177918222,10.297589973962724,XP-001a
hydroxy-HIF_ch2,422.44058225,41.76452964128504,20.88226482064252,9.886486146486945,XP-001a
p-PDK1_ch1,1515.8261850000001,97.00104861912145,48.500524309560724,6.399219750852994,XP-001a
p-PDK1_ch2,692.5523375,90.73316763082485,45.366583815412426,13.101272310820097,XP-001a
p-GSK3b_ch1,1903.8448700000004,179.87326466491876,89.93663233245938,9.447895020192414,XP-001a
p-GSK3b_ch2,1967.2693450000002,73.48271925600388,36.74135962800194,3.7352647944607638,XP-001a
p-p70S6K_ch1,809.5432324999999,93.39683019877866,46.69841509938933,11.536978687395631,XP-001a
p-p70S6K_ch2,592.471645,64.97503101492141,32.48751550746071,10.96677479222173,XP-001a
p-S6_235_ch1,1029.2677225,53.45716990476674,26.72858495238337,5.19370895794964,XP-001a
p-S6_235_ch2,416.281515,30.571494167377015,15.285747083688507,7.343947080469575,XP-001a
p-Rb_780_ch1,551.44299,12.443592050529475,6.221796025264737,2.256550953803851,XP-001a
p-Rb_780_ch2,410.9988425,20.82565117179516,10.41282558589758,5.06708268206258,XP-001a
p-Akt_308_ch1,356.4620975,15.978433453939068,7.989216726969534,4.482505592039576,XP-001a
p-Akt_308_ch2,340.055375,37.626329502380386,18.813164751190193,11.064765408392791,XP-001a
p-S6_240_ch1,1151.26844,94.15806896102956,47.07903448051478,8.178637204805993,XP-001a
p-S6_240_ch2,663.662765,43.18476560270955,21.592382801354773,6.507034578429234,XP-001a
p-Rb_807_ch1,599.0231045,62.14743097680482,31.07371548840241,10.374796983611976,XP-001a
p-Rb_807_ch2,386.73794,39.58356623183413,19.791783115917067,10.23524256033275,XP-001a
p-mTOR_ch1,445.65623500000004,88.69588020077204,44.34794010038602,19.902308827962887,XP-001a
