groupNames,Groups,Rings,
thermal,1, 3-4,
CH_1,2, 5-8,
CH_2,3,9-12,
CH_1,4,13-16,
CH_2,5,17-20,
CH_1,6,21-24,
CH_2,7,25-28,
CH_1,8,29-32,
CH_2,9,33-36,
CH_1,10,37-40,
CH_2,11,41-44,
CH_1,12,45-48,
CH_2,13,49-52,
CH_1,14,53-56,
CH_2,15,57-60,
CH_1,16,61-64,
CH_2,17,65-68,
CH_1,18,69-72,
CH_2,19,73-76,
CH_1,20,77-80,
CH_2,21,81-84,
CH_1,22,85-88,
CH_2,23,88-92,
CH_1,24,93-96,
CH_2,25,97-100,
CH_1,26,101-104,
CH_2,27,105-108,
CH_1,28,109-112,
CH_2,29,113-116,
CH_1,30,117-120,
CH_2,31,121-124,
CH_1,32,125-128,
CH_2,33,129-132,
thermal,34,135-136,
