Target	Group	Ring	Channel
thermal	1	3	1
thermal	1	135	1
pc-Abl Tyr204	2	5	1
pc-Abl Tyr204	2	6	1
pc-Abl Tyr204	2	7	1
pc-Abl Tyr204	2	8	1
pc-Abl Tyr204	3	9	2
pc-Abl Tyr204	3	10	2
pc-Abl Tyr204	3	11	2
pc-Abl Tyr204	3	12	2
pS6 Ser235/6	4	13	1
pS6 Ser235/6	4	14	1
pS6 Ser235/6	4	15	1
pS6 Ser235/6	4	16	1
pS6 Ser235/6	5	17	2
pS6 Ser235/6	5	18	2
pS6 Ser235/6	5	19	2
pS6 Ser235/6	5	20	2
pRb Ser780	6	21	1
pRb Ser780	6	22	1
pRb Ser780	6	23	1
pRb Ser780	6	24	1
pRb Ser780	7	25	2
pRb Ser780	7	26	2
pRb Ser780	7	27	2
pRb Ser780	7	28	2
pAkt Thr308	8	29	1
pAkt Thr308	8	30	1
pAkt Thr308	8	31	1
pAkt Thr308	8	32	1
pAkt Thr308	9	33	2
pAkt Thr308	9	34	2
pAkt Thr308	9	35	2
pAkt Thr308	9	36	2
pS6 Ser240/4	10	37	1
pS6 Ser240/4	10	38	1
pS6 Ser240/4	10	39	1
pS6 Ser240/4	10	40	1
pS6 Ser240/4	11	41	2
pS6 Ser240/4	11	42	2
pS6 Ser240/4	11	43	2
pS6 Ser240/4	11	44	2
pRb Ser807/11	12	45	1
pRb Ser807/11	12	46	1
pRb Ser807/11	12	47	1
pRb Ser807/11	12	48	1
pRb Ser807/11	13	49	2
pRb Ser807/11	13	50	2
pRb Ser807/11	13	51	2
pRb Ser807/11	13	52	2
pmTOR Ser2448	14	53	1
pmTOR Ser2448	14	54	1
pmTOR Ser2448	14	55	1
pmTOR Ser2448	14	56	1
pmTOR Ser2448	15	57	2
pmTOR Ser2448	15	58	2
pmTOR Ser2448	15	59	2
pmTOR Ser2448	15	60	2
pMAPK Thr202/Tyr204	16	61	1
pMAPK Thr202/Tyr204	16	62	1
pMAPK Thr202/Tyr204	16	63	1
pMAPK Thr202/Tyr204	16	64	1
pMAPK Thr202/Tyr204	17	65	2
pMAPK Thr202/Tyr204	17	66	2
pMAPK Thr202/Tyr204	17	67	2
pMAPK Thr202/Tyr204	17	68	2
pAkt Ser473	18	69	1
pAkt Ser473	18	70	1
pAkt Ser473	18	71	1
pAkt Ser473	18	72	1
pAkt Ser473	19	73	2
pAkt Ser473	19	74	2
pAkt Ser473	19	75	2
pAkt Ser473	19	76	2
pp53 Ser15	20	77	1
pp53 Ser15	20	78	1
pp53 Ser15	20	79	1
pp53 Ser15	20	80	1
pp53 Ser15	21	81	2
pp53 Ser15	21	82	2
pp53 Ser15	21	83	2
pp53 Ser15	21	84	2
pSrc Tyr416	22	85	1
pSrc Tyr416	22	86	1
pSrc Tyr416	22	87	1
pSrc Tyr416	22	88	1
pSrc Tyr416	23	89	2
pSrc Tyr416	23	90	2
pSrc Tyr416	23	91	2
pSrc Tyr416	23	92	2
hydroxy-HIF1a Pro564	24	93	1
hydroxy-HIF1a Pro565	24	94	1
hydroxy-HIF1a Pro566	24	95	1
hydroxy-HIF1a Pro567	24	96	1
hydroxy-HIF1a Pro568	25	97	2
hydroxy-HIF1a Pro569	25	98	2
hydroxy-HIF1a Pro570	25	99	2
hydroxy-HIF1a Pro571	25	100	2
pPDK1 Ser341	26	101	1
pPDK1 Ser341	26	102	1
pPDK1 Ser341	26	103	1
pPDK1 Ser341	26	104	1
pPDK1 Ser341	27	105	2
pPDK1 Ser341	27	106	2
pPDK1 Ser341	27	107	2
pPDK1 Ser341	27	108	2
p4E-BP1 Thr37/46	28	109	1
p4E-BP1 Thr37/46	28	110	1
p4E-BP1 Thr37/46	28	111	1
p4E-BP1 Thr37/46	28	112	1
p4E-BP1 Thr37/46	29	113	2
p4E-BP1 Thr37/46	29	114	2
p4E-BP1 Thr37/46	29	115	2
p4E-BP1 Thr37/46	29	116	2
pGSK3b Ser9	30	117	1
pGSK3b Ser10	30	118	1
pGSK3b Ser11	30	119	1
pGSK3b Ser12	30	120	1
pGSK3b Ser13	31	121	2
pGSK3b Ser14	31	122	2
pGSK3b Ser15	31	123	2
pGSK3b Ser16	31	124	2
pp70S6K Thr389	32	125	1
pp70S6K Thr389	32	126	1
pp70S6K Thr389	32	127	1
pp70S6K Thr389	32	128	1
pp70S6K Thr389	33	129	2
pp70S6K Thr389	33	130	2
pp70S6K Thr389	33	131	2
pp70S6K Thr389	33	132	2
thermal	34	4	2
thermal	34	136	2
